Niveau,Concentration,Puissance,Endurance,Score moyen,Score min,Score max
232,62,30,140,375,357,394
233,63,30,140,376,358,396
234,63,30,141,377,359,397
235,63,30,142,378,360,398
236,64,30,142,379,361,399
237,64,30,143,381,363,401
238,65,30,143,382,364,402
239,65,30,144,383,365,403
240,66,30,144,384,366,404
241,66,30,145,385,367,406
242,67,30,145,387,368,407
243,67,30,146,388,369,408
244,68,30,146,389,370,409
245,68,30,147,390,372,411
246,69,30,147,391,373,412
247,69,31,147,393,374,413
248,69,31,148,394,375,414
249,70,31,148,395,376,416
250,70,31,149,396,377,417
251,71,31,149,397,378,418
252,71,31,150,398,379,419
253,72,31,150,400,381,421
254,72,31,151,401,382,422
255,73,31,151,402,383,423
256,73,31,152,403,384,424
257,74,31,152,404,385,425
258,74,31,153,405,386,427
259,75,31,153,407,387,428
260,75,31,154,408,388,429
261,76,31,154,409,389,430
262,76,31,155,410,391,432
263,77,31,155,411,392,433
264,77,31,156,412,393,434
265,77,32,156,414,394,435
266,78,32,156,415,395,437
267,78,32,157,416,396,438
268,79,32,157,417,397,439
269,79,32,158,418,398,440
270,80,32,158,419,399,441
271,80,32,159,421,401,443
272,81,32,159,422,402,444
273,81,32,160,423,403,445
274,82,32,160,424,404,446
275,82,32,161,425,405,448
276,83,32,161,426,406,449
277,83,32,162,428,407,450
278,84,32,162,429,408,451
279,84,32,163,430,409,452
280,85,32,163,431,410,454
281,85,32,164,432,412,455
282,86,32,164,433,413,456
283,86,32,165,434,414,457
284,86,33,165,436,415,458
285,87,33,165,437,416,460
286,87,33,166,438,417,461
287,88,33,166,439,418,462
288,88,33,167,440,419,463
289,89,33,167,441,420,464
290,89,33,168,443,421,466
291,90,33,168,444,422,467
292,90,33,169,445,424,468
293,91,33,169,446,425,469
294,91,33,170,447,426,470
295,92,33,170,448,427,472
296,92,33,171,449,428,473
297,93,33,171,451,429,474
298,93,33,172,452,430,475
299,94,33,172,453,431,477
300,94,33,173,454,432,478
