Niveau,Performance,Technique,Equilibre,Score moyen,Score min,Score max
151,7,4,140,147.24,139.88,154.60
152,7,4,141,147.85,140.46,155.24
153,7,4,142,148.46,141.04,155.88
154,7,4,143,149.07,141.62,156.52
155,7,4,144,149.68,142.20,157.16
156,7,4,145,150.29,142.78,157.80
157,7,4,146,150.90,143.36,158.45
158,7,4,147,151.51,143.93,159.09
159,7,4,148,152.12,144.51,159.73
160,7,4,149,152.73,145.09,160.37
161,7,4,150,153.34,145.67,161.01
162,7,4,151,153.95,146.25,161.65
163,7,4,152,154.56,146.83,162.29
164,7,4,153,155.17,147.41,162.93
165,7,4,154,155.78,147.99,163.57
166,7,4,155,156.39,148.57,164.21
167,7,4,156,157.00,149.15,164.85
168,7,4,157,157.61,149.73,165.49
169,7,4,158,158.22,150.31,166.13
170,7,4,159,158.83,150.89,166.77
171,7,4,160,159.44,151.47,167.41
172,7,4,161,160.05,152.05,168.05
173,7,4,162,160.66,152.63,168.69
174,7,4,163,161.27,153.21,169.33
175,7,4,164,161.88,153.79,169.97
176,7,4,165,162.49,154.37,170.61
177,7,4,166,163.10,154.95,171.25
178,7,4,167,163.71,155.53,171.90
179,7,4,168,164.32,156.10,172.54
180,7,4,169,164.93,156.68,173.18
181,7,4,170,165.54,157.26,173.82
182,7,4,171,166.15,157.84,174.46
183,7,4,172,166.76,158.42,175.10
184,7,4,173,167.37,159.00,175.74
185,7,4,174,167.98,159.58,176.38
186,7,4,175,168.59,160.16,177.02
187,7,4,176,169.20,160.74,177.66
188,7,4,177,169.81,161.32,178.30
189,7,4,178,170.42,161.90,178.94
190,7,4,179,171.03,162.48,179.58
191,7,4,180,171.64,163.06,180.22
192,7,4,181,172.25,163.64,180.86
193,7,4,182,172.86,164.22,181.50
194,7,4,183,173.47,164.80,182.14
195,7,4,184,174.08,165.38,182.78
196,7,4,185,174.69,165.96,183.42
197,7,4,186,175.30,166.54,184.06
198,7,4,187,175.91,167.12,184.71
199,7,4,188,176.52,167.69,185.35
200,7,4,189,177.13,168.27,185.99
201,7,4,190,177.74,168.85,186.63
202,7,4,191,178.35,169.43,187.27
203,7,4,192,178.96,170.01,187.91
204,7,4,193,179.57,170.59,188.55
205,7,4,194,180.18,171.17,189.19
206,7,4,195,180.79,171.75,189.83
207,7,4,196,181.40,172.33,190.47
208,7,4,197,182.01,172.91,191.11
209,7,4,198,182.62,173.49,191.75
210,7,4,199,183.23,174.07,192.39
211,7,4,200,183.84,174.65,193.03
212,7,4,201,184.45,175.23,193.67
213,7,4,202,185.06,175.81,194.31
214,7,4,203,185.67,176.39,194.95
215,7,4,204,186.28,176.97,195.59
216,7,4,205,186.89,177.55,196.23
217,7,4,206,187.50,178.12,196.88
218,7,4,207,188.11,178.70,197.52
219,7,4,208,188.72,179.28,198.16
220,7,4,209,189.33,179.86,198.80
221,7,4,210,189.94,180.44,199.44
222,7,4,211,190.55,181.02,200.08
223,7,4,212,191.16,181.60,200.72
224,7,4,213,191.77,182.18,201.36
225,7,4,214,192.38,182.76,202.00
226,7,4,215,192.99,183.34,202.64
227,7,4,216,193.60,183.92,203.28
228,7,4,217,194.21,184.50,203.92
229,7,4,218,194.82,185.08,204.56
230,7,4,219,195.43,185.66,205.20
231,7,4,220,196.04,186.24,205.84
232,7,4,221,196.65,186.82,206.48
233,7,4,222,197.26,187.40,207.12
234,7,4,223,197.87,187.98,207.76
235,7,4,224,198.48,188.56,208.40
236,7,4,225,199.09,189.14,209.04
237,7,4,226,199.70,189.72,209.69
238,7,4,227,200.31,190.29,210.33
239,7,4,228,200.92,190.87,210.97
240,7,4,229,201.53,191.45,211.61
241,7,4,230,202.14,192.03,212.25
242,7,4,231,202.75,192.61,212.89
243,7,4,232,203.36,193.19,213.53
244,7,4,233,203.97,193.77,214.17
245,7,4,234,204.58,194.35,214.81
246,7,4,235,205.19,194.93,215.45
247,7,4,236,205.80,195.51,216.09
248,7,4,237,206.41,196.09,216.73
249,7,4,238,207.02,196.67,217.37
250,7,4,239,207.63,197.25,218.01
